Rozmiar,Rosnacy,Malejacy,Staly,V-kształtny,Losowy
2000,0.008055242709815502,0.008011534623801709,0.0010240484029054643,0.008020574692636728,0.0080523987300694
4000,0.01787797762081027,0.017824675422161818,0.002053800784051418,0.017788359243422747,0.01784682534635067
6000,0.0284014780074358,0.028239345643669367,0.003093607258051634,0.028326059877872466,0.02836344800889492
8000,0.03899386469274759,0.038788026105612515,0.004121269658207893,0.03882003016769886,0.039010772574692966
10000,0.05041064517572522,0.05011937245726585,0.005157333984971047,0.05010828049853444,0.051339177321642636
12000,0.06193492989987135,0.06145921079441905,0.006197668332606554,0.06154039697721601,0.06191661991178989
14000,0.0731721800751984,0.0727698971517384,0.007232510857284069,0.07287870338186622,0.07418098244816065
16000,0.0850267356261611,0.08467547474429012,0.008280739281326532,0.08458733847364783,0.08489919127896428
18000,0.09738622242584824,0.09669337663799524,0.009289965592324733,0.09663588255643844,0.09701175736263394
20000,0.1100252816453576,0.10954447062686086,0.010325684025883675,0.10973093090578914,0.10981449913233518
22000,0.12184148896485567,0.12138199396431446,0.011164531949907542,0.12137581594288349,0.12366463141515852
24000,0.13715311661362647,0.13455932466313242,0.012220472283661365,0.1346611068584025,0.13584801964461804
26000,0.14783354541286825,0.14692309545353055,0.013210850674659014,0.14846670292317868,0.14761449098587037
28000,0.16086031356826425,0.1602645583450794,0.014234183169901372,0.16059795496985316,0.160900151822716
30000,0.17486619018018246,0.17405610643327235,0.01529929144307971,0.17415910456329584,0.17476418390870094
