Rozmiar,Rosnacy,Malejacy,Staly,V-kształtny,Losowy
2000,0.0043260459788143635,0.004318203963339329,0.004385864175856113,0.004325482062995434,0.0043848342262208465
4000,0.00937660587951541,0.009390521794557571,0.009478956088423729,0.009407919831573963,0.009468029905110597
6000,0.014795930217951536,0.014801392424851656,0.015012520831078291,0.014825918339192867,0.014948736689984799
8000,0.020279563032090664,0.020285794977098703,0.02080642832443118,0.021454073674976825,0.02058960972353816
10000,0.026288073044270277,0.0261274004355073,0.026343119144439698,0.02618688065558672,0.026378373242914678
12000,0.031987236253917216,0.03205259814858437,0.032107616402208806,0.0320610323920846,0.03235552906990051
14000,0.0382227286696434,0.03819463644176722,0.03812843635678291,0.0380289881490171,0.03866033172234893
16000,0.04407734014093876,0.044049024023115634,0.04350525885820389,0.04409610629081726,0.044492713268846275
18000,0.05071206353604794,0.050713715609163046,0.05001271981745958,0.05074731977656484,0.05161548964679241
20000,0.057036576233804225,0.05709695443511009,0.05616021817550063,0.05700607020407915,0.05751019725576043
22000,0.06350406920537352,0.06358403135091066,0.06257445905357599,0.0637555057182908,0.06423642290756107
24000,0.07013809066265822,0.07035755906254053,0.06850555073469877,0.07029544888064265,0.07081895610317587
26000,0.07702892646193504,0.07694035628810525,0.07466768715530633,0.07693755216896533,0.07778091831132769
28000,0.08368454603478312,0.08381066424772143,0.08123627817258239,0.08421502523124218,0.08484702277928591
30000,0.09059739401564001,0.09045937359333038,0.08686161935329437,0.09071666020900011,0.09133855178952217
