Rozmiar,Rosnacy,Malejacy,Staly,V-kształtny,Losowy
2000,0.12322457935661077,0.12373097846284509,0.11742642428725958,0.12353354869410396,0.1253958606161177
4000,0.5088848450221122,0.5098721853457391,0.4699015783146024,0.5072511216625571,0.506590586528182
6000,1.1524040614254774,1.1544559938833117,1.0569712505675852,1.1520920808427035,1.1485532430931926
8000,2.06035626726225,2.069027415011078,1.8813017010688782,2.0604121632874013,2.0562257124111056
10000,3.263622847571969,3.236909932922572,2.9434604507870974,3.228121832292527,3.2549910007975997
12000,4.66826566644013,4.681540600862354,4.238546179048717,4.6667746368795635,4.628178521804512
14000,6.38186058504507,6.399568674620241,5.772849670890719,6.371146981790662,6.350308058690279
16000,8.380290351156145,8.428694523777812,7.5417671238072215,8.383676710072905,8.336606241110712
18000,10.78589600948617,10.726867161598056,9.540979171730578,10.760116216167807,10.87985999248922
20000,13.487020099256188,13.296157946437598,11.789369257818908,13.475913777016103,13.492961866408587
22000,16.622875237371773,16.694491540268064,14.284795603808016,16.71816292470321,16.55624911459163
24000,20.00749825183302,20.041983536351474,16.976313813403248,20.074699596501887,20.159645596239717
26000,24.516825863253324,24.512247998081147,19.930405380856246,24.481606303993612,24.249882627930493
28000,28.844680865854023,28.926158402394503,23.87744519338012,29.669080192036926,28.69989144979045
30000,33.85998838245869,34.13112725550309,26.554031315352766,33.82023004367947,34.060811723209916
